OverallQual,GrLivArea,GarageCars,TotalBsmtSF,YearBuilt,YearRemodAdd,FullBath,Neighborhood,LotArea,1stFlrSF,TotRmsAbvGrd,GarageArea,Fireplaces,SalePrice
8,2170.0,3.0,1943.0,1918,1950,1.0,BrkSide,6207.0,1048.0,6.0,577.0,0,563192.0
2,2992.0,3.0,1077.0,1903,1950,1.0,Blueste,4459.0,1445.0,9.0,655.0,0,316999.0
4,618.0,4.0,651.0,1975,1998,1.0,CollgCr,13331.0,404.0,8.0,1418.0,0,200302.0
5,1127.0,2.0,1594.0,1917,1956,2.0,NridgHt,4402.0,631.0,5.0,473.0,1,341341.0
5,1192.0,2.0,1333.0,1906,1950,1.0,Veenker,3415.0,1053.0,6.0,674.0,1,229630.0
1,1068.0,3.0,1375.0,2001,2010,3.0,MeadowV,14103.0,918.0,6.0,728.0,0,305070.0
6,949.0,1.0,1578.0,1939,1958,1.0,NWAmes,9695.0,600.0,6.0,273.0,2,248637.0
2,1358.0,2.0,771.0,1878,1950,2.0,Crawfor,11343.0,885.0,4.0,610.0,0,255441.0
8,876.0,1.0,1001.0,1940,1951,1.0,NAmes,7178.0,542.0,5.0,247.0,1,354715.0
7,1691.0,2.0,982.0,1936,1955,1.0,Somerst,4482.0,790.0,9.0,687.0,1,236527.0
10,1542.0,1.0,492.0,1992,2010,1.0,Blmngtn,4950.0,897.0,6.0,283.0,0,363997.0
8,1768.0,1.0,942.0,1970,1972,1.0,StoneBr,7816.0,893.0,6.0,298.0,1,398587.0
4,1782.0,2.0,1642.0,1898,1950,1.0,NAmes,4740.0,884.0,7.0,539.0,1,285580.0
10,1832.0,2.0,1161.0,1892,1950,1.0,MeadowV,10441.0,1287.0,10.0,613.0,1,475673.0
5,1319.0,0.0,467.0,1955,1983,2.0,Mitchel,7107.0,652.0,7.0,0.0,1,247965.0
4,2629.0,1.0,376.0,1878,1950,1.0,Timber,9823.0,1305.0,8.0,275.0,0,278525.0
10,1638.0,1.0,1786.0,1916,1950,1.0,Veenker,9678.0,1091.0,6.0,349.0,1,362426.0
4,537.0,1.0,1017.0,1891,1950,1.0,BrDale,10866.0,349.0,6.0,256.0,1,230644.0
1,989.0,2.0,773.0,1874,1950,2.0,Edwards,11496.0,506.0,7.0,621.0,0,190174.0
5,601.0,2.0,937.0,1999,2010,2.0,SawyerW,7541.0,334.0,5.0,599.0,0,271388.0
8,1524.0,3.0,410.0,1884,1950,2.0,NridgHt,9818.0,818.0,6.0,712.0,1,416657.0
2,1451.0,2.0,1680.0,1873,1950,1.0,NPkVill,10077.0,807.0,8.0,577.0,0,296585.0
