Bedrooms,Bathrooms,Toilets,ParkingSpace,PropertyType,State,SalePrice
6,5,5,4,Detached Duplex,Abuja,450000000.0
4,5,5,4,Terraced Duplexes,Abuja,800000000.0
4,5,5,4,Detached Duplex,Lagos,120000000.0
4,4,5,6,Detached Duplex,Lagos,40000000.0
4,4,5,2,Semi Detached Duplex,Lagos,75000000.0
5,5,6,1,Detached Duplex,Lagos,450000000.0
4,5,5,4,Detached Duplex,Lagos,65000000.0
2,2,3,6,Detached Bungalow,Lagos,12000000.0
1,1,1,1,Detached Duplex,Lagos,200000000.0
4,4,5,5,Detached Duplex,Lagos,60000000.0
3,4,5,4,Terraced Duplexes,Abuja,25000000.0
6,6,6,4,Semi Detached Duplex,Edo,45000000.0
4,5,6,3,Semi Detached Duplex,Lagos,65000000.0
4,4,5,4,Semi Detached Duplex,Lagos,70000000.0
6,6,7,4,Detached Duplex,Lagos,450000000.0
3,4,4,3,Detached Bungalow,Ogun,12000000.0
4,4,5,4,Terraced Duplexes,Lagos,48000000.0
3,3,4,4,Detached Bungalow,Abuja,37000000.0
4,5,5,4,Detached Duplex,Lagos,170000000.0
3,3,4,2,Block of Flats,Lagos,350000000.0
5,5,6,5,Detached Duplex,Lagos,85000000.0
3,3,4,4,Terraced Duplexes,Lagos,34000000.0
4,5,5,2,Terraced Duplexes,Lagos,130000000.0
5,6,7,6,Detached Duplex,Abuja,160000000.0
4,4,5,3,Detached Duplex,Lagos,60000000.0
5,5,5,4,Detached Duplex,Lagos,270000000.0
5,6,5,4,Detached Duplex,Lagos,250000000.0
4,4,5,5,Detached Duplex,Lagos,180000000.0
4,4,5,2,Semi Detached Duplex,Lagos,75000000.0
5,5,5,4,Detached Duplex,Lagos,270000000.0
6,8,8,3,Detached Duplex,Lagos,850000000.0
4,4,5,4,Detached Duplex,Lagos,140000000.0
5,5,6,4,Detached Duplex,Lagos,700000000.0
2,3,5,4,Block of Flats,Ogun,7000000.0
5,5,6,6,Detached Duplex,Abuja,150000000.0
4,4,5,8,Detached Duplex,Abuja,70000000.0
3,5,5,4,Terraced Duplexes,Lagos,40000000.0
5,5,6,1,Detached Duplex,Edo,70000000.0
5,5,6,5,Detached Duplex,Lagos,120000000.0
4,4,5,4,Terraced Duplexes,Lagos,55000000.0
6,6,7,8,Detached Duplex,Abuja,130000000.0
4,5,5,4,Semi Detached Duplex,Abuja,75000000.0
2,2,3,2,Block of Flats,Lagos,30000000.0
2,2,3,4,Terraced Duplexes,Lagos,53000000.0
5,6,6,4,Detached Duplex,Lagos,270000000.0
5,5,5,4,Detached Bungalow,Abuja,130000000.0
3,3,4,4,Block of Flats,Lagos,25500000.0
5,5,6,4,Detached Duplex,Lagos,235000000.0
3,3,4,3,Terraced Duplexes,Lagos,65000000.0
4,4,4,3,Terraced Duplexes,Lagos,55000000.0
5,5,6,4,Detached Duplex,Lagos,120000000.0
4,5,5,4,Semi Detached Duplex,Lagos,69000000.0
5,5,6,4,Detached Duplex,Lagos,105000000.0
4,4,5,3,Semi Detached Duplex,Lagos,60000000.0
5,5,6,5,Detached Duplex,Lagos,1100000000.0
5,5,6,1,Detached Duplex,Abuja,300000000.0
2,2,2,4,Detached Bungalow,Ogun,4000000.0
5,5,6,4,Detached Duplex,Lagos,105000000.0
8,8,8,4,Block of Flats,Edo,36000000.0
4,4,5,1,Semi Detached Duplex,Abuja,50000000.0
4,5,5,4,Semi Detached Duplex,Lagos,60000000.0
5,6,7,4,Detached Duplex,Lagos,150000000.0
3,4,4,6,Detached Duplex,Abuja,30000000.0
5,5,6,4,Detached Duplex,Lagos,75000000.0
2,3,3,3,Semi Detached Bungalow,Lagos,12000000.0
5,5,6,2,Detached Duplex,Lagos,110000000.0
2,2,3,1,Semi Detached Bungalow,Lagos,12000000.0
5,5,6,6,Detached Duplex,Lagos,330000000.0
4,4,5,3,Semi Detached Duplex,Lagos,45000000.0
4,4,4,5,Detached Duplex,Lagos,50000000.0
5,5,6,4,Detached Duplex,Lagos,135000000.0
4,2,2,4,Semi Detached Bungalow,Lagos,40000000.0
5,5,6,4,Detached Duplex,Lagos,280000000.0
5,5,5,4,Detached Duplex,Lagos,150000000.0
4,5,5,4,Block of Flats,Lagos,650000000.0
4,5,6,4,Terraced Duplexes,Abuja,131000000.0
4,4,5,4,Detached Duplex,Lagos,85000000.0
5,5,6,4,Detached Duplex,Lagos,155000000.0
1,2,2,1,Block of Flats,Ogun,6900000.0
3,3,4,4,Detached Bungalow,Lagos,12500000.0
4,4,5,4,Detached Duplex,Lagos,60000000.0
4,4,5,4,Terraced Duplexes,Lagos,105000000.0
5,5,6,4,Detached Duplex,Lagos,100000000.0
2,5,5,4,Block of Flats,Lagos,22500000.0
5,5,6,2,Terraced Duplexes,Abuja,70000000.0
4,5,5,4,Terraced Duplexes,Abuja,75000000.0
4,5,5,4,Detached Duplex,Lagos,70000000.0
3,3,3,4,Detached Bungalow,Oyo,10000000.0
4,2,2,1,Terraced Bungalow,Ogun,5000000.0
5,5,6,4,Detached Duplex,Lagos,145000000.0
4,5,5,4,Detached Duplex,Abuja,52500000.0
4,4,5,4,Semi Detached Duplex,Lagos,61000000.0
5,5,6,4,Detached Duplex,Lagos,110000000.0
5,5,5,1,Detached Bungalow,Ogun,15000000.0
5,3,3,4,Detached Duplex,Imo,50000000.0
5,6,6,4,Detached Duplex,Lagos,260000000.0
4,4,5,4,Terraced Duplexes,Lagos,29800000.0
4,5,6,4,Terraced Duplexes,Lagos,145000000.0
4,4,5,5,Semi Detached Duplex,Lagos,150000000.0
4,4,5,3,Detached Duplex,Lagos,80000000.0
5,6,8,1,Detached Duplex,Abuja,280000000.0
4,4,5,4,Detached Duplex,Lagos,45000000.0
5,5,6,4,Detached Duplex,Anambara,260000000.0
4,4,5,3,Semi Detached Duplex,Lagos,75000000.0
4,4,5,3,Detached Duplex,Lagos,60000000.0
3,3,4,3,Terraced Bungalow,Ogun,11500000.0
3,3,4,4,Block of Flats,Abuja,135000000.0
3,5,5,4,Terraced Duplexes,Lagos,42000000.0
5,5,6,5,Semi Detached Duplex,Imo,60000000.0
3,3,4,3,Terraced Bungalow,Lagos,36436500.0
3,5,5,4,Block of Flats,Lagos,55000000.0
3,3,3,4,Detached Bungalow,Ogun,10000000.0
5,5,6,5,Detached Duplex,Lagos,1100000000.0
5,6,6,4,Detached Duplex,Lagos,260000000.0
4,4,5,4,Detached Duplex,Abuja,80000000.0
4,5,5,6,Detached Duplex,Lagos,70000000.0
5,5,6,4,Detached Duplex,Lagos,90000000.0
